City,State,MedianAQI
Riverside,CA,84
Phoenix,AZ,77
Los Angeles,CA,70
Hanford,CA,67
Visalia,CA,67
Fresno,CA,64
Las Vegas,NV,63
Denver,CO,61
El Centro,CA,57
Bakersfield,CA,57
Houston,TX,57
El Paso,TX,56
San Luis Obispo,CA,55
Las Cruces,NM,54
Albuquerque,NM,54
Detroit,MI,54
Sacramento,CA,54
Merced,CA,53
St. Louis,MO,52
Salt Lake City,UT,51
Cincinnati,OH,51
San Antonio,TX,51
Dallas,TX,51
Birmingham,AL,51
Greeley,CO,51
Fort Collins,CO,51
Bishop,CA,50
Farmington,NM,50
Chicago,IL,50
Oklahoma City,OK,50
New York,NY,50
Laramie,WY,49
Ogden,UT,49
San Diego,CA,49
Carlsbad,NM,49
Tucson,AZ,48
Lancaster,PA,48
Payson,AZ,48
Kansas City,MO,48
Modesto,CA,48
Madera,CA,48
Colorado Springs,CO,48
Tulsa,OK,48
Boulder,CO,48
Indianapolis,IN,48
Atlanta,GA,48
Philadelphia,PA,48
Truckee,CA,48
Oxnard,CA,48
Provo,UT,47
Cleveland,OH,47
Reno,NV,47
Brownsville,TX,47
Marshall,TX,47
Charlotte,NC,47
Amarillo,TX,47
Durango,CO,47
Flagstaff,AZ,47
Yuma,AZ,46
Pittsburgh,PA,46
Jacksonville,FL,46
Tampa,FL,46
Chattanooga,TN,46
Baton Rouge,LA,46
Yuba City,CA,46
St. George,UT,46
Vernal,UT,46
Sierra Vista,AZ,45
Wichita,KS,45
Grand Junction,CO,45
Riverton,WY,45
McAllen,TX,45
Miami,FL,45
New Orleans,LA,45
Nashville,TN,45
Austin,TX,45
Knoxville,TN,45
Corpus Christi,TX,45
Ardmore,OK,45
Lawton,OK,45
Pensacola,FL,45
Washington,DC,45
Baltimore,MD,45
Hobbs,NM,45
Santa Fe,NM,45
Rapid City,SD,44
Omaha,NE,44
Milwaukee,WI,44
Redding,CA,44
Minneapolis,MN,44
Lake Charles,LA,44
Boise City,ID,44
Shreveport,LA,44
Louisville/Jefferson County,KY,44
Weirton,WV,44
Greenville,SC,44
San Francisco,CA,44
Athens,GA,44
Canton,OH,44
