City,State,ViolentCrime
Abilene,TX,317.30
Akron,OH,371.70
Albany,GA,717.60
Albany,OR,136.60
Albany,NY,257.50
Albuquerque,NM,1043.40
Alexandria,LA,849.20
Altoona,PA,333.40
Amarillo,TX,595.40
Ames,IA,199.30
Anchorage,AK,1194.60
Ann Arbor,MI,355.50
Appleton,WI,164.20
Asheville,NC,316.10
Atlantic City,NJ,255.40
Augusta,GA,361.10
Austin,TX,286.90
Bakersfield,CA,621.10
Baltimore,MD,698.70
Bangor,ME,44.30
Barnstable Town,MA,326.80
Baton Rouge,LA,554.00
Battle Creek,MI,624.00
Bay City,MI,383.70
Beaumont,TX,541.20
Bellingham,WA,220.10
Bend,OR,165.40
Billings,MT,
Binghamton,NY,285.40
Bismarck,ND,305.70
Blacksburg,VA,192.30
Bloomington,IL,353.80
Boise City,ID,250.90
Boston,MA,277.70
Boston,MA,396.30
Cambridge,MA,210.50
Rockingham County,NH,98.30
Boulder,CO,272.30
Bowling Green,KY,153.50
Bremerton,WA,261.40
Bridgeport,CT,174.20
Brownsville,TX,375.10
Buffalo,NY,354.30
Burlington,NC,407.60
Burlington,VT,200.50
California,MD,204.40
Canton,OH,338.60
Cape Coral,FL,257.80
Cape Girardeau,MO,384.60
Carson City,NV,347.80
Casper,WY,285.60
Cedar Rapids,IA,188.50
Champaign,IL,485.40
Charleston,SC,398.00
Charlottesville,VA,175.70
Chattanooga,TN,525.60
Chico,CA,443.80
Cincinnati,OH,237.40
Clarksville,TN,387.50
Cleveland,TN,559.80
Cleveland,OH,403.30
Coeur d'Alene,ID,219.00
College Station,TX,262.40
Colorado Springs,CO,465.70
Columbia,MO,271.80
Columbia,SC,583.40
Columbus,IN,145.80
Columbus,OH,286.50
Corpus Christi,TX,736.90
Crestview,FL,313.20
Cumberland,MD,274.80
Danville,IL,935.70
Davenport,IA,366.40
Dayton,OH,328.40
Decatur,IL,419.30
Deltona,FL,319.30
Detroit,MI,516.90
Detroit,MI,984.30
Warren,MI,201.10
Dover,DE,427.40
Dubuque,IA,134.40
Duluth,MN,209.10
Durham,NC,439.10
East Stroudsburg,PA,236.40
Eau Claire,WI,214.30
El Centro,CA,339.40
Elizabethtown,KY,99.80
Elmira,NY,213.90
El Paso,TX,333.20
Enid,OK,370.20
Erie,PA,299.00
Eugene,OR,
Evansville,IN,327.20
Fairbanks,AK,794.50
Fargo,ND,296.70
Flagstaff,AZ,461.10
Flint,MI,579.70
Florence,SC,823.40
Fond du Lac,WI,176.50
Fort Collins,CO,234.10
Fort Smith,AR,585.70
Fort Wayne,IN,305.00
Gainesville,FL,692.10
Glens Falls,NY,127.10
Goldsboro,NC,414.70
Grand Forks,ND,250.60
Grand Island,NE,375.70
Grand Junction,CO,283.50
Grand Rapids,MI,321.50
Grants Pass,OR,238.70
Great Falls,MT,
Greeley,CO,215.90
Green Bay,WI,225.90
Greensboro,NC,530.20
Greenville,NC,362.50
