City,State,AvgIncome
San Jose,CA,136338
Bridgeport,CT,127391
Midland,TX,125455
San Francisco,CA,123711
Naples,FL,117984
Sebastian,FL,95109
Boston,MA,92290
Napa,CA,90608
Boulder,CO,89593
Seattle,WA,89274
Santa Cruz,CA,85554
New York,NY,85136
Barnstable Town,MA,83191
Santa Rosa,CA,81006
Washington,DC,80822
Denver,CO,78150
Trenton,NJ,77911
Charlottesville,VA,77070
Los Angeles,CA,75821
Santa Maria,CA,73995
Miami,FL,73522
Oxnard,CA,73375
San Diego,CA,72637
Philadelphia,PA,72379
Ocean City,NJ,72010
Chicago,IL,71992
Minneapolis,MN,71912
Manchester,NH,71849
Sioux Falls,SD,71570
Reno,NV,71489
Austin,TX,71372
Fayetteville,AR,70594
Baltimore,MD,70490
Casper,WY,70175
Nashville,TN,70026
Hartford,CT,69951
Santa Fe,NM,69528
North Port,FL,69376
Madison,WI,69116
Ann Arbor,MI,68688
Portland,ME,68555
Portland,OR,68374
Bremerton,WA,67845
Albany,NY,67788
Bend,OR,67743
Anchorage,AK,67085
Dallas,TX,66727
Port St. Lucie,FL,66630
San Luis Obispo,CA,66617
Raleigh,NC,66428
Hilton Head Island,SC,66256
Sacramento,CA,65972
Richmond,VA,65834
Indianapolis,IN,65805
Milwaukee,WI,65803
California,MD,65762
Pittsburgh,PA,65730
Vallejo,CA,65448
Fairbanks,AK,65314
Burlington,VT,65083
Pittsfield,MA,65050
Houston,TX,64837
St. Louis,MO,64769
Crestview,FL,64660
New Haven,CT,64643
Providence,RI,64566
Worcester,MA,64540
The Villages,FL,64282
Fort Collins,CO,64258
Omaha,NE,64229
Bismarck,ND,64134
Mount Vernon,WA,64093
Urban Honolulu,HI,63912
Norwich,CT,63877
Salinas,CA,63449
Durham,NC,63375
Atlanta,GA,63219
Cincinnati,OH,63116
Rochester,MN,63052
Cape Coral,FL,62885
Allentown,PA,62618
Poughkeepsie,NY,62428
Charlotte,NC,62056
Midland,MI,62055
Fargo,ND,62021
Cleveland,OH,61948
Missoula,MT,61881
Des Moines,IA,61833
Salt Lake City,UT,61551
Lancaster,PA,61547
Springfield,MA,61523
Kansas City,MO,61410
New Orleans,LA,61327
Rapid City,SD,61259
Columbus,IN,61136
Olympia,WA,61062
Detroit,MI,60965
Charleston,SC,60754
Kingston,NY,60557
Harrisburg,PA,60517
Carson City,NV,60445
Iowa City,IA,60316
Tyler,TX,60284
San Angelo,TX,60187
Sioux City,IA,59993
Tulsa,OK,59941
Columbus,OH,59867
Billings,MT,59698
Niles,MI,59656
Louisville/Jefferson County,KY,59425
Jacksonville,FL,59271
Birmingham,AL,59107
Cedar Rapids,IA,59063
Colorado Springs,CO,58736
Akron,OH,58735
Cheyenne,WY,58646
Kalamazoo,MI,58524
Kahului,HI,58520
Bloomington,IL,58503
Rochester,NY,58500
Sheboygan,WI,58425
La Crosse,WI,58414
Tampa,FL,58315
Appleton,WI,58312
Atlantic City,NJ,58310
Phoenix,AZ,58308
Grand Forks,ND,58295
Victoria,TX,58294
Las Vegas,NV,58276
Green Bay,WI,58240
Bellingham,WA,58137
Syracuse,NY,58137
Wenatchee,WA,58009
Reading,PA,57970
York,PA,57870
Huntsville,AL,57815
Stockton,CA,57783
Grand Rapids,MI,57667
Lexington,KY,57519
Oklahoma City,OK,57150
Springfield,IL,57126
Wausau,WI,56947
Flagstaff,AZ,56914
Lincoln,NE,56887
Racine,WI,56884
Medford,OR,56842
Buffalo,NY,56808
Dubuque,IA,56782
Virginia Beach,VA,56716
Evansville,IN,56650
Memphis,TN,56568
Greeley,CO,56553
Decatur,IL,56548
Winchester,VA,56544
