City,State,Population
New York,NY,20140470
Los Angeles,CA,13200998
Chicago,IL,9618502
Dallas,TX,7637387
Houston,TX,7122240
Washington,DC,6385162
Philadelphia,PA,6245051
Miami,FL,6138333
Atlanta,GA,6089815
Boston,MA,4941632
Phoenix,AZ,4845832
San Francisco,CA,4749008
Riverside,CA,4599839
Detroit,MI,4392041
Seattle,WA,4018762
Minneapolis,MN,3690261
San Diego,CA,3298634
Tampa,FL,3175275
Denver,CO,2963821
Baltimore,MD,2844510
St. Louis,MO,2820253
Orlando,FL,2673376
Charlotte,NC,2660329
San Antonio,TX,2558143
Portland,OR,2512859
Sacramento,CA,2397382
Pittsburgh,PA,2370930
Austin,TX,2283371
Las Vegas,NV,2265461
Cincinnati,OH,2256884
Kansas City,MO,2192035
Columbus,OH,2138926
Indianapolis,IN,2111040
Cleveland,OH,2088251
San Juan,PR,2081265
San Jose,CA,2000468
Nashville,TN,1989519
Virginia Beach,VA,1799674
Providence,RI,1676579
Jacksonville,FL,1605848
Milwaukee,WI,1574731
Oklahoma City,OK,1425695
Raleigh,NC,1413982
Memphis,TN,1337779
Richmond,VA,1314434
Louisville/Jefferson County,KY,1285439
New Orleans,LA,1271845
Salt Lake City,UT,1257936
Hartford,CT,1213531
Buffalo,NY,1166902
Birmingham,AL,1115289
Rochester,NY,1090135
Grand Rapids,MI,1087592
Tucson,AZ,1043433
Urban Honolulu,HI,1016508
Tulsa,OK,1015331
Fresno,CA,1008654
Worcester,MA,978529
Omaha,NE,967604
Bridgeport,CT,957419
Greenville,SC,928195
Albuquerque,NM,916528
Bakersfield,CA,909235
Albany,NY,899262
Knoxville,TN,879773
McAllen,TX,870781
Baton Rouge,LA,870569
El Paso,TX,868859
New Haven,CT,864835
Allentown,PA,861889
Oxnard,CA,843843
North Port,FL,833716
Columbia,SC,829470
Dayton,OH,814049
Charleston,SC,799636
Stockton,CA,779233
Greensboro,NC,776566
Boise City,ID,764718
Cape Coral,FL,760822
Colorado Springs,CO,755105
Little Rock,AR,748031
Lakeland,FL,725046
Des Moines,IA,709466
Akron,OH,702219
Springfield,MA,699162
Poughkeepsie,NY,697221
Ogden,UT,694863
Madison,WI,680796
Winston,NC,675966
Provo,UT,671185
Deltona,FL,668921
Syracuse,NY,662057
Durham,NC,649903
Wichita,KS,647610
Toledo,OH,646604
Augusta,GA,611000
Palm Bay,FL,606612
Jackson,MS,591978
Harrisburg,PA,591712
Spokane,WA,585784
Scranton,PA,567559
Chattanooga,TN,562647
Lancaster,PA,552984
Modesto,CA,552878
Portland,ME,551740
Fayetteville,AR,546725
Lansing,MI,541297
Youngstown,OH,541243
Fayetteville,NC,520378
Lexington,KY,516811
Pensacola,FL,509905
Huntsville,AL,491723
Reno,NV,490596
Santa Rosa,CA,488863
Myrtle Beach,SC,487722
Port St. Lucie,FL,487657
Lafayette,LA,478384
Springfield,MO,475432
Killeen,TX,475367
Visalia,CA,473117
Asheville,NC,469015
York,PA,456438
Vallejo,CA,453491
Santa Maria,CA,448229
Salinas,CA,439035
Salem,OR,433353
Mobile,AL,430197
Reading,PA,428849
Manchester,NH,422937
Corpus Christi,TX,421933
Brownsville,TX,421017
Fort Wayne,IN,419601
Salisbury,MD,418046
Gulfport,MS,416259
Flint,MI,406211
Savannah,GA,404798
Peoria,IL,402391
Canton,OH,401574
Anchorage,AK,398328
Beaumont,TX,397565
Shreveport,LA,393406
Trenton,NJ,387340
Montgomery,AL,386047
Davenport,IA,384324
Tallahassee,FL,384298
Eugene,OR,382971
Ocala,FL,375908
Naples,FL,375752
Ann Arbor,MI,372258
Hickory,NC,365276
Huntington,WV,359862
Fort Collins,CO,359066
Lincoln,NE,340217
Gainesville,FL,339247
Rockford,IL,338798
Boulder,CO,330758
Greeley,CO,328981
Columbus,GA,328883
Green Bay,WI,328268
Spartanburg,SC,327997
South Bend,IN,324501
Lubbock,TX,321368
Clarksville,TN,320535
Roanoke,VA,315251
Evansville,IN,314049
Aguadilla,PR,310160
Kingsport,TN,307614
Kennewick,WA,303622
Olympia,WA,294793
Hagerstown,MD,293844
Utica,NY,292264
Duluth,MN,291638
Crestview,FL,286973
Longview,TX,286184
Wilmington (Cape Fear),NC,285905
San Luis Obispo,CA,282424
Merced,CA,281202
Waco,TX,277547
Sioux Falls,SD,276730
Cedar Rapids,IA,276520
Bremerton,WA,275611
Atlantic City,NJ,274534
Erie,PA,270876
Santa Cruz,CA,270861
Amarillo,TX,268691
Tuscaloosa,AL,268674
Norwich,CT,268555
College Station,TX,268248
Laredo,TX,267114
Kalamazoo,MI,261670
Lynchburg,VA,261593
Charleston,WV,258859
Yakima,WA,256728
Fargo,ND,249843
Binghamton,NY,247138
Fort Smith,AR,244310
Appleton,WI,243147
Prescott Valley,AZ,236209
Macon,GA,233802
Tyler,TX,233479
Topeka,KS,233152
Daphne,AL,231767
Barnstable Town,MA,228996
Bellingham,WA,226847
Rochester,MN,226329
Burlington,VT,225562
Ponce,PR,224142
Lafayette,IN,223716
Medford,OR,223259
Champaign,IL,222538
Lake Charles,LA,222402
Charlottesville,VA,221524
Lebanon,NH,221211
Las Cruces,NM,219561
Hilton Head Island,SC,215908
Athens,GA,215415
Lake Havasu City,AZ,213267
Chico,CA,211632
Columbia,MO,210864
Springfield,IL,208640
Johnson City,TN,207285
Houma,LA,207137
Monroe,LA,207104
Elkhart,IN,207047
Jacksonville,NC,204576
Yuma,AZ,203881
Gainesville,GA,203136
Hilo,HI,200629
Florence,SC,199964
St. Cloud,MN,199671
Bend,OR,198253
Racine,WI,197727
Warner Robins,GA,191614
Saginaw,MI,190124
Punta Gorda,FL,186847
Torrington,CT,185186
Terre Haute,IN,185031
Billings,MT,184167
Arecibo,PR,182705
Redding,CA,182155
Dover,DE,181851
Kingston,NY,181851
Joplin,MO,181409
Yuba City,CA,181208
Jackson,TN,180504
St. George,UT,180279
El Centro,CA,179702
Bowling Green,KY,179639
Abilene,TX,176579
Muskegon,MI,175824
Iowa City,IA,175419
Midland,TX,175220
Panama City,FL,175216
Auburn,AL,174241
Hattiesburg,MS,172231
Eau Claire,WI,172007
Oshkosh,WI,171730
Burlington,NC,171415
Coeur d'Alene,ID,171362
Bloomington,IL,170954
Greenville,NC,170243
Waterloo,IA,168461
East Stroudsburg,PA,168327
Pueblo,CO,168162
Wausau,WI,166428
Blacksburg,VA,166378
Odessa,TX,165171
Kahului,HI,164754
Janesville,WI,163687
Tupelo,MS,163398
Bloomington,IN,161039
Jackson,MI,160366
Sebastian,FL,159788
State College,PA,158172
Idaho Falls,ID,157429
Decatur,AL,156494
Madera,CA,156255
Chambersburg,PA,155932
Grand Junction,CO,155703
Elizabethtown,KY,155572
Santa Fe,NM,154823
Monroe,MI,154809
Niles,MI,154316
Vineland,NJ,154152
Homosassa Springs,FL,153843
Concord,NH,153808
Traverse City,MI,153448
Hanford,CA,152486
Bangor,ME,152199
Alexandria,LA,152192
Dothan,AL,151007
Florence,AL,150791
Jefferson City,MO,150309
Sioux City,IA,149940
London,KY,149863
Albany,GA,148922
Ottawa,IL,148539
Wichita Falls,TX,148128
Valdosta,GA,148126
Texarkana,TX,147519
Logan,UT,147348
Flagstaff,AZ,145101
Rocky Mount,NC,143870
Lebanon,PA,143257
Pottsville,PA,143049
Dalton,GA,142837
Morristown,TN,142709
Winchester,VA,142632
Morgantown,WV,140038
La Crosse,WI,139627
Wheeling,WV,139513
Rapid City,SD,139074
Napa,CA,138019
Sumter,SC,136700
Eureka,CA,136463
Springfield,OH,136001
Harrisonburg,VA,135571
Sherman,TX,135543
Battle Creek,MI,134310
Jonesboro,AR,134196
Manhattan,KS,134046
Bismarck,ND,133626
Johnstown,PA,133472
Carbondale,IL,133435
Hammond,LA,133157
The Villages,FL,129752
Mount Vernon,WA,129523
