City,State,PriceParity
San Francisco,CA,119.83
San Diego,CA,115.15
Urban Honolulu,HI,114.74
New York,NY,114.58
Seattle,WA,114.57
Los Angeles,CA,113.82
Napa,CA,112.07
Kahului,HI,112.04
Santa Maria,CA,111.81
San Jose,CA,111.64
Oxnard,CA,111.40
Washington,DC,111.34
Poughkeepsie,NY,110.09
Miami,FL,109.92
Santa Rosa,CA,109.81
Boston,MA,109.69
Vallejo,CA,109.38
Salinas,CA,109.27
Denver,CO,109.16
Santa Cruz,CA,109.08
San Luis Obispo,CA,108.56
Sacramento,CA,106.29
Anchorage,AK,106.27
Bridgeport,CT,105.80
Riverside,CA,105.53
Chicago,IL,105.42
Portland,OR,105.37
Baltimore,MD,105.01
Bellingham,WA,104.72
Stockton,CA,104.61
Fairbanks,AK,103.94
Dallas,TX,103.85
Bremerton,WA,103.69
Olympia,WA,103.59
Minneapolis,MN,103.58
Wenatchee,WA,103.11
Modesto,CA,102.98
Bend,OR,102.75
Burlington,VT,102.64
Chico,CA,102.52
Ithaca,NY,102.35
Naples,FL,102.19
Manchester,NH,102.16
Medford,OR,102.12
Trenton,NJ,101.89
Salem,OR,101.84
Albany,OR,101.80
Corvallis,OR,101.80
Portland,ME,101.74
Hartford,CT,101.71
Fresno,CA,101.56
Yuba City,CA,101.54
Boulder,CO,101.32
New Haven,CT,101.25
Providence,RI,101.20
Barnstable Town,MA,101.14
Bakersfield,CA,100.94
Eugene,OR,100.61
Kennewick,WA,100.51
Mount Vernon,WA,100.39
Merced,CA,100.30
Charlottesville,VA,100.28
Madera,CA,100.09
Kingston,NY,100.09
Austin,TX,100.04
Norwich,CT,100.03
Worcester,MA,100.00
Cape Coral,FL,99.97
Orlando,FL,99.82
Ann Arbor,MI,99.75
Houston,TX,99.74
Redding,CA,99.40
North Port,FL,99.31
Philadelphia,PA,99.21
Phoenix,AZ,99.18
Walla Walla,WA,99.17
Albany,NY,99.16
Charleston,SC,99.15
Atlanta,GA,99.12
Hilton Head Island,SC,99.08
