hud_area_code	hud_areaname	rent_50_0	rent_50_1	rent_50_2	rent_50_3	rent_50_4
METRO41860MM7360	San Francisco, CA HUD Metro FMR Area	2,427	3,000	3,590	4,406	4,823
METRO41940M41940	San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area	2,443	2,763	3,233	4,122	4,619
METRO42100M42100	Santa Cruz-Watsonville, CA MSA	2,301	2,602	3,425	4,240	4,751
METRO42200M42200	Santa Maria-Santa Barbara, CA MSA	2,162	2,490	2,826	3,730	4,240
METRO14460MM1120	Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area	2,181	2,368	2,838	3,454	3,812
METRO41500M41500	Salinas, CA MSA	2,236	2,324	2,833	4,014	4,389
METRO35620MM5600	New York, NY HUD Metro FMR Area	2,273	2,323	2,624	3,296	3,551
METRO14860MM8040	Stamford-Norwalk, CT HUD Metro FMR Area	1,893	2,321	2,796	3,448	3,756
METRO31080MM5945	Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area	2,087	2,274	2,733	3,712	4,340
NCNTY25007N25007	Dukes County, MA	1,900	2,200	2,485	3,223	3,398
METRO37100M37100	Oxnard-Thousand Oaks-Ventura, CA MSA	1,863	2,189	2,653	3,685	4,334
METRO41860MM5775	Oakland-Fremont, CA HUD Metro FMR Area	1,826	2,169	2,649	3,462	4,082
NCNTY25019N25019	Nantucket County, MA	1,866	2,142	2,791	3,432	3,817
METRO35620MM5380	Nassau-Suffolk, NY HUD Metro FMR Area	1,652	2,059	2,470	3,175	3,489
METRO41740M41740	San Diego-Carlsbad, CA MSA	1,868	2,055	2,615	3,574	4,347
METRO42660MM7600	Seattle-Bellevue, WA HUD Metro FMR Area	1,956	2,011	2,351	3,157	3,684
METRO35620MM3640	Jersey City, NJ HUD Metro FMR Area	1,934	1,995	2,288	2,825	3,074
METRO34900M34900	Napa, CA MSA	1,724	1,959	2,578	3,550	3,597
METRO31080MM4480	Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area	1,690	1,925	2,448	3,181	3,493
METRO46520M46520	Urban Honolulu, HI MSA	1,723	1,892	2,477	3,520	4,219
METRO42220M42220	Santa Rosa, CA MSA	1,646	1,848	2,432	3,349	3,624
METRO48325M48325	Westchester County, NY Statutory Exception Area	1,545	1,796	2,183	2,706	2,994
NCNTY15007N15007	Kauai County, HI	1,578	1,793	2,360	3,168	3,856
METRO46700M46700	Vallejo-Fairfield, CA MSA	1,566	1,776	2,152	3,058	3,580
NCNTY12087N12087	Monroe County, FL	1,662	1,773	2,246	2,853	3,811
NCNTY08097N08097	Pitkin County, CO	1,522	1,771	2,127	2,605	3,540
METRO27980M27980	Kahului-Wailuku-Lahaina, HI MSA	1,681	1,761	2,178	2,995	3,229
METRO39300MM1200	Easton-Raynham, MA HUD Metro FMR Area	1,748	1,759	2,316	2,819	3,490
METRO47900M47900	Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area	1,711	1,740	1,980	2,476	2,954
METRO14860MM1930	Danbury, CT HUD Metro FMR Area	1,442	1,733	2,157	2,749	2,931
METRO14500M14500	Boulder, CO MSA	1,515	1,712	2,073	2,756	3,259
METRO41940N06069	San Benito County, CA HUD Metro FMR Area	1,503	1,708	2,248	3,195	3,829
METRO35620MM0875	Bergen-Passaic, NJ HUD Metro FMR Area	1,428	1,706	1,980	2,459	3,090
METRO38900M38900	Portland-Vancouver-Hillsboro, OR-WA MSA	1,574	1,689	1,930	2,702	3,143
METRO42020M42020	San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA	1,507	1,688	2,222	3,064	3,412
NCNTY08117N08117	Summit County, CO	1,435	1,672	1,977	2,810	3,368
METRO33100MM5000	Miami-Miami Beach-Kendall, FL HUD Metro FMR Area	1,472	1,670	2,078	2,734	3,239
METRO33100MM8960	West Palm Beach-Boca Raton, FL HUD Metro FMR Area	1,365	1,670	2,042	2,728	3,337
METRO19740M19740	Denver-Aurora-Lakewood, CO MSA	1,505	1,665	2,009	2,650	2,976
METRO12700M12700	Barnstable Town, MA MSA	1,492	1,655	2,178	2,665	2,963
NCNTY08037N08037	Eagle County, CO	1,451	1,649	2,170	2,662	2,915
NCNTY78020N78020	St. John Island, VI	1,378	1,633	2,029	2,469	2,726
METRO35620MM5015	Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area	1,431	1,623	2,054	2,500	2,759
METRO39300N44005	Newport-Middleton-Portsmouth, RI HUD Metro FMR Area	1,585	1,618	2,095	2,809	3,468
METRO14460MM4560	Lowell, MA HUD Metro FMR Area	1,428	1,587	2,083	2,535	2,798
METRO38060M38060	Phoenix-Mesa-Scottsdale, AZ MSA	1,450	1,584	1,878	2,575	2,931
METRO33100MM2680	Fort Lauderdale, FL HUD Metro FMR Area	1,461	1,580	1,975	2,761	3,364
METRO34940M34940	Naples-Immokalee-Marco Island, FL MSA	1,383	1,577	1,928	2,571	2,654
METRO38860MM6400	Portland, ME HUD Metro FMR Area	1,341	1,563	2,006	2,529	2,948
METRO40900MM9270	Yolo, CA HUD Metro FMR Area	1,517	1,539	2,026	2,803	3,362
METRO36740M36740	Orlando-Kissimmee-Sanford, FL MSA	1,445	1,536	1,745	2,229	2,703
METRO40140M40140	Riverside-San Bernardino-Ontario, CA MSA	1,404	1,533	1,920	2,605	3,204
NCNTY02050N02050	Bethel Census Area, AK	1,524	1,533	1,956	2,381	2,628
METRO40900M40900	Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area	1,384	1,518	1,904	2,706	3,152
METRO14460MM1200	Brockton, MA HUD Metro FMR Area	1,334	1,516	1,995	2,543	2,900
METRO35300MM1160	Milford-Ansonia-Seymour, CT HUD Metro FMR Area	1,184	1,516	1,771	2,155	3,017
METRO12060M12060	Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area	1,457	1,489	1,682	2,047	2,500
METRO45300M45300	Tampa-St. Petersburg-Clearwater, FL MSA	1,390	1,488	1,787	2,287	2,804
METRO14460MM4160	Lawrence, MA-NH HUD Metro FMR Area	1,282	1,487	1,918	2,334	2,577
METRO16700M16700	Charleston-North Charleston, SC MSA	1,452	1,484	1,676	2,084	2,620
METRO12420M12420	Austin-Round Rock, TX MSA	1,341	1,483	1,740	2,235	2,585
METRO14740M14740	Bremerton-Silverdale, WA MSA	1,294	1,479	1,935	2,600	3,128
NCNTY02016N02016	Aleutians West Census Area, AK	1,297	1,474	1,940	2,361	2,606
METRO14460MM4760	Western Rockingham Urban Honolulu, NH HUD Metro FMR Area	1,453	1,462	1,925	2,736	3,021
