,City,State,Region,Size,Population,AvgRent,MedianRent,UnempRate,AvgIncome,CostOfLiving,PriceParity,CommuteTime,MedianAQI,WalkScore,BikeScore,TransitScore,Latitude,Longitude
0,New York,New York,Northeast,Large,20140470.0,3272,2323.0,3.8,85136.0,128.0,114.58,36.7,50.0,88.0,69.3,6.9,40.6943,-73.9249
1,Los Angeles,California,West,Large,13200998.0,2857,1925.0,3.9,75821.0,140.6,113.82,30.7,70.0,68.6,58.7,6.2,34.1141,-118.4068
2,Chicago,Illinois,Midwest,Large,9618502.0,1975,1364.0,4.2,71992.0,100.1,105.42,31.8,50.0,77.2,72.2,5.1,41.8375,-87.6866
3,Dallas,Texas,South,Large,7637387.0,1754,1440.0,3.2,66727.0,98.5,103.85,28.6,51.0,46.0,49.3,2.8,32.7935,-96.7667
4,Houston,Texas,South,Large,7122240.0,1620,1216.0,3.9,64837.0,95.8,99.74,30.0,57.0,47.5,48.6,2.8,29.786,-95.3885
5,Washington,District of Columbia,South,Large,6385162.0,2421,1740.0,2.8,80822.0,120.1,111.34,34.8,45.0,76.7,69.5,5.5,38.9047,-77.0163
6,Philadelphia,Pennsylvania,Northeast,Large,6245051.0,1663,1314.0,3.4,72379.0,103.4,99.21,29.8,48.0,74.8,66.7,5.3,40.0077,-75.1339
7,Miami,Florida,South,Large,6138333.0,3201,1670.0,1.9,73522.0,110.1,109.92,29.6,45.0,76.6,64.0,5.2,25.784,-80.2101
8,Atlanta,Georgia,South,Large,6089815.0,1991,1489.0,2.6,63219.0,100.3,99.12,32.1,48.0,47.7,41.7,2.5,33.7628,-84.422
9,Boston,Massachusetts,Northeast,Large,4941632.0,3419,2368.0,2.9,92290.0,132.6,109.69,31.2,44.0,82.8,69.4,5.0,42.3188,-71.0852
10,Phoenix,Arizona,West,Large,4845832.0,1755,1584.0,2.7,58308.0,104.3,99.18,26.4,77.0,41.4,55.9,4.1,33.5722,-112.0892
11,San Francisco,California,West,Large,4749008.0,3422,3000.0,2.4,123711.0,178.6,119.83,33.6,44.0,88.7,72.3,6.8,37.7558,-122.4449
12,Riverside,California,West,Large,4599839.0,2399,1533.0,3.6,50384.0,116.1,105.53,32.9,84.0,42.7,48.9,3.8,33.9381,-117.3949
13,Detroit,Michigan,Midwest,Large,4392041.0,1201,1024.0,3.2,60965.0,93.2,96.11,27.1,54.0,51.1,52.1,2.8,42.3834,-83.1024
14,Seattle,Washington,West,Large,4018762.0,2162,2011.0,3.4,89274.0,124.6,114.57,30.8,44.0,74.4,71.1,5.1,47.6211,-122.3244
15,Minneapolis,Minnesota,Midwest,Large,3690261.0,1625,1239.0,2.6,71912.0,105.4,103.58,25.3,44.0,71.4,83.5,3.7,44.9635,-93.2678
16,San Diego,California,West,Large,3298634.0,3016,2055.0,2.9,72637.0,136.2,115.15,26.0,49.0,53.3,43.0,5.3,32.8313,-117.1222
17,Tampa,Florida,South,Large,3175275.0,2146,1488.0,2.2,58315.0,101.4,98.97,27.2,46.0,49.5,55.2,3.3,27.9945,-82.4447
18,Denver,Colorado,West,Large,2963821.0,1956,1665.0,2.8,78150.0,112.1,109.16,27.3,61.0,61.2,71.8,5.3,39.762,-104.8758
19,Baltimore,Maryland,Northeast,Large,2844510.0,1611,1359.0,3.1,70490.0,107.0,105.01,31.0,45.0,64.3,53.4,4.2,39.3051,-76.6144
20,St. Louis,Missouri,Midwest,Large,2820253.0,1217,853.0,2.5,64769.0,89.6,96.25,26.0,52.0,65.7,57.7,3.8,38.6359,-90.2451
21,Orlando,Florida,South,Large,2673376.0,1974,1536.0,2.3,53102.0,101.4,99.82,28.7,44.0,41.1,56.8,3.3,28.4773,-81.337
22,Charlotte,North Carolina,South,Large,2660329.0,1767,1288.0,3.1,62056.0,97.9,96.6,26.5,47.0,26.4,31.3,2.2,35.2083,-80.8303
23,San Antonio,Texas,South,Large,2558143.0,1441,1138.0,3.3,53648.0,92.7,96.38,26.7,51.0,36.9,44.5,4.5,29.4632,-98.5238
24,Portland,Oregon,West,Large,2512859.0,1793,1689.0,4.1,68374.0,116.5,105.37,27.5,34.0,67.3,82.7,6.1,45.5371,-122.65
25,Sacramento,California,West,Large,2397382.0,2068,1518.0,3.3,65972.0,120.3,106.29,27.1,54.0,49.0,66.9,4.0,38.5677,-121.4685
26,Pittsburgh,Pennsylvania,Northeast,Large,2370930.0,1403,977.0,3.7,65730.0,93.1,95.15,26.7,46.0,62.4,54.9,3.3,40.4397,-79.9763
27,Austin,Texas,South,Large,2283371.0,1840,1483.0,2.7,71372.0,106.6,100.04,27.1,45.0,41.7,54.0,2.8,30.3005,-97.7522
